Invoice Number,Supplier GSTIN,Buyer GSTIN,Invoice Date,Taxable Amount,GST Amount,Total Amount,HSN Code
TXT/2024/001,29AABCT1332L1ZT,27AAPFU0939F1ZV,2024-04-05,50000,9000,59000,5208
TXT/2024/002,29AABCT1332L1ZT,27AAPFU0939F1ZV,2024-04-08,30000,5400,35400,5208
TXT/2024/003,29AABCT1332L1ZT,27AAPFU0939F1ZV,2024-04-12,20000,3600,23600,5208
FAB/APR/101,06AABCE3803M1ZH,27AAPFU0939F1ZV,2024-04-03,42143,5057,47200,5407
FAB/APR/102,06AABCE3803M1ZH,27AAPFU0939F1ZV,2024-04-09,25286,3034,28320,5407
FAB/APR/103,06AABCE3803M1ZH,27AAPFU0939F1ZV,2024-04-15,56893,6827,63720,5407
IND/2024/0441,27AAACI3829P1ZS,27AAPFU0939F1ZV,2024-04-06,17981,899,18880,5101
IND/2024/0442,27AAACI3829P1ZS,27AAPFU0939F1ZV,2024-04-11,12362,618,12980,5101
IND/2024/0443,27AAACI3829P1ZS,27AAPFU0939F1ZV,2024-04-18,30000,1500,31500,5101
MUM-INV-2024-0081,33AABCM4751A1ZD,27AAPFU0939F1ZV,2024-04-04,64531,18069,82600,5309
MUM-INV-2024-0082,33AABCM4751A1ZD,27AAPFU0939F1ZV,2024-04-10,39875,11165,51040,5309
HYD/04/2024/223,36AABCP3981L1ZK,27AAPFU0939F1ZV,2024-04-07,21847,3933,25780,5402
TXT/2024/004,29AABCT1332L1ZT,27AAPFU0939F1ZV,2024-04-20,38500,6930,45430,5208
FAB/APR/104,06AABCE3803M1ZH,27AAPFU0939F1ZV,2024-04-22,47500,5700,53200,5407
IND/2024/0444,27AAACI3829P1ZS,27AAPFU0939F1ZV,2024-04-25,17000,850,17850,5101
MUM-INV-2024-0083,33AABCM4751A1ZD,27AAPFU0939F1ZV,2024-04-28,57000,15960,72960,5309
HYD/04/2024/251,36AABCP3981L1ZK,27AAPFU0939F1ZV,2024-04-13,31000,5580,36580,5402
HYD/04/2024/252,36AABCP3981L1ZK,27AAPFU0939F1ZV,2024-04-19,24500,4410,28910,5402
HYD/04/2024/253,36AABCP3981L1ZK,27AAPFU0939F1ZV,2024-04-24,18000,3240,21240,5402
HYD/04/2024/254,36AABCP3981L1ZK,27AAPFU0939F1ZV,2024-04-27,42000,7560,49560,5402
